1, 2
10, 2
100, 5
101, 5
102, 5
103, 5
105, 5
106, 5
107, 3
108, 3
109, 3
11, 2
110, 3
111, 3
112, 3
113, 3
114, 3
115, 3
116, 0
117, 0
118, 0
119, 0
12, 2
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 0
13, 2
130, 0
131, 0
132, 0
133, 0
14, 2
15, 2
16, 2
17, 2
18, 2
19, 2
2, 2
20, 2
21, 2
22, 2
23, 2
24, 2
25, 2
26, 2
27, 2
28, 2
29, 2
3, 2
30, 2
31, 2
32, 2
33, 2
34, 2
35, 2
36, 2
37, 2
38, 2
39, 2
4, 2
40, 2
41, 2
42, 2
43, 1
44, 1
45, 1
46, 1
47, 1
48, 1
49, 1
5, 2
51, 1
53, 1
54, 1
55, 1
56, 1
57, 1
58, 1
59, 1
6, 2
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 4
67, 4
68, 4
69, 4
7, 2
70, 4
71, 4
72, 4
73, 4
74, 4
75, 1
76, 1
78, 1
79, 1
8, 2
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 1
88, 1
89, 1
9, 2
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 1
97, 5
98, 5
99, 5
