1, 2
10, 2
100, 5
101, 5
102, 5
108, 3
109, 3
11, 2
111, 3
112, 3
113, 3
115, 3
116, 0
118, 0
119, 0
12, 2
120, 0
121, 0
123, 0
124, 0
125, 0
126, 0
127, 0
13, 2
130, 0
131, 0
132, 0
14, 2
17, 2
18, 2
19, 2
2, 2
20, 2
22, 2
23, 2
24, 2
26, 2
27, 2
28, 2
3, 2
33, 2
34, 2
35, 2
36, 2
37, 2
38, 2
39, 2
4, 2
40, 2
41, 2
44, 1
45, 1
46, 1
47, 1
5, 2
51, 1
53, 1
54, 1
56, 1
58, 1
59, 1
6, 2
60, 1
64, 1
66, 4
67, 4
68, 4
69, 4
7, 2
70, 4
72, 4
73, 4
75, 1
76, 1
78, 1
79, 1
8, 2
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 1
88, 1
89, 1
9, 2
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 1
97, 5
98, 5
99, 5
